Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,VALUBusy,VALUUtilization,SQ_WAVES,LDSBankConflict,MemUnitStalled,SQ_WAIT_INST_LDS,SQ_INSTS_VMEM_RD,SQ_INSTS_VALU,SQ_INSTS_LDS,DispatchNs,BeginNs,EndNs,CompleteNs
101144,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101446,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0449425578,98.7695312500,8,0.0000000000,0.9843002576,22,96,616,24,37424050148200,37424050204945,37424050303345,37424063321545
101145,"void miso::kernels::q6k_gemv_kernel<2048u, 256, 2>(miso::kernels::Q6kGemvParams) [clone .kd]",1,1,101447,1059749,1059749,122880,256,0,0,60,0,32,64,0x0,0x708db844b000,41.4804469274,97.7411979881,1920,0.0000000000,11.7359254174,0,48128,1430784,0,37424050279006,37424050303345,37424050464786,37424063203747
101146,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101448,1059749,1059749,61440,256,0,0,72,0,48,64,0x0,0x708db844af40,17.7008219294,96.7186661640,960,0.0000000000,5.9598638120,0,16000,496080,0,37424050409384,37424050464786,37424050590066,37424063078252
101147,"void miso::kernels::deltanet_step_kernel<256>(miso::kernels::DeltaNetStepParams) [clone .kd]",1,1,101449,1059749,1059749,8192,256,3072,0,184,0,64,64,0x0,0x708db8121400,3.4178576917,99.7167266187,128,0.0000000000,3.6340414383,1684,9536,84096,7616,37424050553066,37424050590066,37424050715187,37424062925364
101148,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101450,1059749,1059749,61440,256,0,0,112,0,48,64,0x0,0x708db844afc0,13.8313132606,97.3213026928,960,0.0000000000,1.4564634033,0,16384,451392,0,37424050681415,37424050715187,37424050867827,37424062804627
101149,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101451,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0429345784,98.7695312500,8,0.0000000000,0.4352545983,18,96,616,24,37424050817166,37424050867827,37424051026548,37424062691168
101150,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101452,1059749,1059749,16640,256,0,0,36,0,32,64,0x0,0x708daf3e3580,1.7323318403,94.2115461618,260,0.0000000000,0.4513987288,0,3084,25709,0,37424051004423,37424051026548,37424051180628,37424062567471
101151,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101453,1059749,1059749,30720,256,512,0,64,0,48,64,0x0,0x708daf3e35c0,29.5625070531,83.4111362883,480,0.0000000000,1.6474027656,834,23712,1256456,10593,37424051147356,37424051180628,37424051339829,37424062451892
101152,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)1, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101454,1059749,1059749,30720,256,18944,0,108,0,32,64,0x0,0x708daf3e3640,25.6656455904,98.5070714324,480,6.3297572769,1.2647584470,303656,33456,1113176,21840,37424051279573,37424051339829,37424051469269,37424062332927
101153,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101455,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0480675349,98.7695312500,8,0.0000000000,0.4415440725,20,96,616,24,37424051410943,37424051469269,37424051579989,37424062218050
