Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,VALUBusy,VALUUtilization,SQ_WAVES,LDSBankConflict,MemUnitStalled,SQ_WAIT_INST_LDS,SQ_INSTS_VMEM_RD,SQ_INSTS_VALU,SQ_INSTS_LDS,DispatchNs,BeginNs,EndNs,CompleteNs
101162,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101464,1553930,1553930,61440,256,0,0,72,0,48,64,0x0,0x73c6a5072f40,29.0545658343,95.9908461635,960,0.0000000000,11.5726479489,0,32384,1202640,0,48298403718497,48298403742393,48298403902073,48298411340290
101163,"void miso::kernels::deltanet_step_kernel<256>(miso::kernels::DeltaNetStepParams) [clone .kd]",1,1,101465,1553930,1553930,8192,256,3072,0,184,0,64,64,0x0,0x73c6a5051400,3.2472604890,99.7167266187,128,0.0000000000,3.1706400937,1705,9536,84096,7616,48298403849192,48298403902073,48298404186232,48298411226975
101164,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101466,1553930,1553930,61440,256,0,0,112,0,48,64,0x0,0x73c6a5072fc0,13.4492637691,97.3210883065,960,0.0000000000,1.6654374481,0,16384,451392,0,48298404150455,48298404186232,48298404379512,48298411109610
101165,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101467,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0423734424,98.7695312500,8,0.0000000000,0.3792925603,19,96,616,24,48298404336842,48298404379512,48298404544952,48298410990840
101166,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101468,1553930,1553930,16640,256,0,0,36,0,32,64,0x0,0x73c6a4de3580,1.6041475500,94.2115461618,260,0.0000000000,0.4834442240,0,3084,25709,0,48298404518396,48298404544952,48298404807511,48298410880227
101167,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101469,1553930,1553930,30720,256,512,0,64,0,48,64,0x0,0x73c6a4de35c0,28.2710893559,83.4051196001,480,0.0000000000,1.5842703687,883,23712,1256456,10593,48298404781442,48298404807511,48298405010711,48298410765365
101168,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)0, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101470,1553930,1553930,30720,256,9728,0,84,0,32,64,0x0,0x73c6a4de3600,19.7282030602,96.6133331457,480,4.0396956202,1.1380191004,959,14688,667240,9600,48298404951187,48298405010711,48298405145271,48298410658140
101169,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101471,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0427247724,98.7695312500,8,0.0000000000,1.0183004517,34,96,616,24,48298405103248,48298405145271,48298405341590,48298410541179
101170,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101472,1553930,1553930,61440,256,0,0,72,0,48,64,0x0,0x73c6a5072f40,23.1564103357,96.1698161267,960,0.0000000000,8.3444271577,0,25088,888000,0,48298405315248,48298405341590,48298405511830,48298410427626
101171,"void miso::kernels::q6k_gemv_kernel<2048u, 256, 1>(miso::kernels::Q6kGemvParams) [clone .kd]",1,1,101473,1553930,1553930,61440,256,0,0,60,0,32,64,0x0,0x73c6a5073040,9.3120749247,97.9885057471,960,0.0000000000,0.6164584326,0,6144,149312,0,48298405466220,48298405511830,48298405618870,48298410309522
101172,"void miso::kernels::attn_prep_kernel<256>(miso::kernels::AttnPrepParams) [clone .kd]",1,1,101474,1553930,1553930,4608,256,1536,0,28,0,64,64,0x0,0x73c6a5032400,0.3474514118,97.9857708255,72,0.0000000000,0.8473157873,76,170,4946,288,48298405592533,48298405618870,48298405762550,48298410308753
