ts,edge_c,junction_c,mem_c,sclk,mclk,power_w
1790422947,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422949,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422950,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790422951,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422953,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422954,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422956,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422957,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422959,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422960,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422962,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422963,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422965,33.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422966,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422967,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422969,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422970,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422972,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422973,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422975,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422976,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422978,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790422979,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422980,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422982,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422983,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422985,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422986,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790422988,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422989,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422991,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422992,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422994,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422995,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422996,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422998,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422999,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423001,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423002,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423004,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423005,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423007,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423008,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423009,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423011,33.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423012,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423014,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423015,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423017,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423018,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423020,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423021,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423023,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423024,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423025,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423027,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423028,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423030,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423031,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423033,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423034,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423036,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423037,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423038,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423040,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423041,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423043,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423044,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423046,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423047,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423049,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423050,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423052,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423053,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423054,33.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423056,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423057,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423059,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423060,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423062,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423063,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423065,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423066,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423067,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423069,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423070,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423072,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423073,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423075,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423076,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423078,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423079,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423081,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423082,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423083,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423085,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423086,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423088,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423089,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423091,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423092,34.0,34.0,38.0,930Mhz,350Mhz,16.0
